Openness,infogain,Conscientiousness,infogain,Extraversion,infogain,Agreeableness,infogain,Neuroticism,infogain
りん,1.6402034469398252e-05,＜,1.3045454269278167e-05,やる,1.7442689707602987e-05,ぐるぐる,1.4502402789995372e-05,くださる,1.7809378518918173e-05
どっさり,1.6014295123323308e-05,すい,1.2950183579163443e-05,いう,1.7428478400249858e-05,あく,1.4464074850062403e-05,【,1.7532062773661927e-05
元,1.527633521691829e-05,よー,1.2900051588049521e-05,御意,1.709500723767743e-05,だけ,1.4382419416314463e-05,どっさり,1.6788325044592156e-05
ふる,1.5180862029340325e-05,＾,1.2735061341362375e-05,どっさり,1.7065468785215643e-05,】,1.432384679278531e-05,！,1.6736480798917874e-05
分かる,1.5171944010905491e-05,役に立つ,1.2613607503486612e-05,○,1.678538684346531e-05,どっこいしょ,1.4153923627580056e-05,する,1.6585243647559977e-05
ε,1.4806416534840494e-05,ずーっと,1.2463657346528656e-05,わかる,1.6551145298304704e-05,初,1.388486454212412e-05,出る,1.636783250402729e-05
…,1.4801969065225684e-05,勝つ,1.2364532511410786e-05,はじめて,1.651258049228943e-05,御意,1.3879123775262237e-05,すい,1.6062177194853255e-05
脱,1.4759942857378583e-05,高,1.2081070339675648e-05,見れる,1.650299654243348e-05,きかす,1.3810686647297565e-05,←,1.604510852004637e-05
まったり,1.4723259976645586e-05,行く,1.2080385259793935e-05,守る,1.6259967445586554e-05,まったり,1.3720001126649173e-05,ど,1.58369497780253e-05
ぶらり,1.4461076556115948e-05,たぶん,1.2055030477853279e-05,☆,1.623617137036515e-05,あに,1.3639915848240314e-05,。,1.565347728027522e-05
○,1.4244298517818166e-05,か,1.2033944107647798e-05,きかす,1.587754125109697e-05,゜,1.3251038748274269e-05,痛い,1.5652033707791446e-05
イイ,1.4135846123752849e-05,寝る,1.1960093466489852e-05,終える,1.582251121290401e-05,れる,1.3167964015403655e-05,◆,1.557296563314825e-05
こんばんは,1.4093020633376696e-05,どっこいしょ,1.181920175075124e-05,】,1.5613383783752433e-05,役に立つ,1.3106757511316403e-05,作る,1.5514092834401083e-05
ヾ,1.3741364518038424e-05,手堅い,1.176273314384968e-05,φ,1.510737856003086e-05,なー,1.3106276770424863e-05,行く,1.5497889066073967e-05
まずは,1.3622800074108987e-05,　,1.1635076772265052e-05,っていう,1.5068116212990645e-05,´,1.3024732387845184e-05,ねー,1.5348604309628477e-05
悩む,1.3621458408330511e-05,なあ,1.1607489209031208e-05,――,1.498140691857941e-05,つかわす,1.2793468319394208e-05,言う,1.5286353539645248e-05
まあ,1.356968967158867e-05,歌う,1.1553966500987833e-05,◎,1.4851724641884445e-05,萌える,1.2584524051173496e-05,なんか,1.5096114240664704e-05
うーん,1.2903453190160619e-05,する,1.118890486928592e-05,使える,1.4682290008227739e-05,やばい,1.2548187815264455e-05,に,1.505059025241895e-05
凄い,1.2767191443829873e-05,ヽ,1.11831515984262e-05,お疲れ様,1.463396665279948e-05,ダラダラ,1.2456042388309108e-05,ぐるぐる,1.4744071632044609e-05
下さる,1.2544930865776571e-05,どる,1.1133819986963722e-05,ぶらり,1.433610083789727e-05,てか,1.2386799289054728e-05,決まる,1.4644543400055277e-05
とりあえず,1.2122770501887814e-05,終える,1.1132200746888365e-05,あさる,1.3947279273174296e-05,無い,1.2309766459384086e-05,まずは,1.4388356095351718e-05
すい,1.2059616642301485e-05,あさる,1.1110817794146577e-05,ていう,1.3889293112190337e-05,くる,1.221635298287449e-05,答える,1.433238794767977e-05
役に立つ,1.1928803724803316e-05,はじまる,1.1093582680921088e-05,じゃ,1.381912778530836e-05,ぶらり,1.217560172483978e-05,御意,1.4232092004018426e-05
なんか,1.1857977237128559e-05,くる,1.0710267348557068e-05,▽,1.3736137082442923e-05,よ,1.2051259912881918e-05,脱,1.4031508393630432e-05
答える,1.1854272349731687e-05,で,1.0667940980702006e-05,まで,1.3627148537254108e-05,【,1.1925378445409862e-05,はじめて,1.3997836499801686e-05
ねむい,1.1837076926313195e-05,だけ,1.0633179001851012e-05,“,1.361052365356219e-05,‥,1.1758359199087742e-05,ダラダラ,1.375122319025035e-05
